City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
307,Shalinskoye,RU,55.7228,93.7594,46.92,86,100,8.72,overcast clouds
308,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,1.14,fog
309,Hobyo,SO,5.3505,48.5268,85.24,61,9,11.27,clear sky
310,Wanlaweyn,SO,2.6185,44.8938,94.73,34,0,9.8,clear sky
311,Kerema,PG,-7.9631,145.7785,80.85,78,99,3.58,overcast clouds
312,Umm Kaddadah,SD,13.6017,26.6876,99.05,10,5,20.49,clear sky
313,Tenenkou,ML,14.4572,-4.9169,86.85,13,7,1.48,clear sky
314,Deniliquin,AU,-35.5333,144.9667,72.66,36,0,5.06,clear sky
315,Solnechnyy,RU,50.7214,136.6319,29.21,98,100,3.15,light snow
316,Luderitz,NA,-26.6481,15.1594,65.21,56,0,8.01,clear sky
317,Waipawa,NZ,-41.4122,175.5153,62.76,79,100,13.65,overcast clouds
318,Marzuq,YE,14.4,46.4667,86.36,10,0,7.67,clear sky
319,Nouadhibou,MR,20.931,-17.0347,62.58,88,20,11.5,few clouds
320,Singaraja,ID,-8.112,115.0882,82.87,76,98,0.92,overcast clouds
321,Cervo,ES,43.6702,-7.4101,50.97,66,6,9.89,clear sky
322,Guane,CU,22.2025,-84.0875,72.73,87,0,6.35,clear sky
323,Mandalgovi,MN,45.7625,106.2708,49.1,35,100,14.03,overcast clouds
324,Kawalu,ID,-7.3817,108.2082,80.46,79,66,4.43,broken clouds
325,Prieska,ZA,-29.6641,22.7474,66.04,37,0,11.25,clear sky
326,Ulaangom,MN,49.9811,92.0667,31.95,99,100,2.21,overcast clouds
327,Iralaya,HN,15.0,-83.2333,77.65,81,27,9.17,scattered clouds
328,Vostok,RU,46.4856,135.8833,34.02,98,100,13.2,light snow
329,Tiarei,PF,-17.5333,-149.3333,80.62,78,19,19.75,light rain
330,Viedma,AR,-40.8135,-62.9967,58.01,34,35,10.51,scattered clouds
331,Kungurtug,RU,50.5994,97.5228,43.95,72,81,6.04,broken clouds
332,Dryden,CA,49.7833,-92.7503,30.49,80,0,11.5,clear sky
333,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,40,10.36,scattered clouds
334,Richards Bay,ZA,-28.783,32.0377,81.7,66,48,10.45,scattered clouds
335,Porto Novo,BJ,6.4965,2.6036,85.82,62,98,8.86,overcast clouds
336,Broome,US,42.2506,-75.833,35.98,76,100,5.75,overcast clouds
337,Lismore,AU,-28.8135,153.2773,71.92,90,70,3.06,broken clouds
338,Rio Gallegos,AR,-51.6226,-69.2181,35.65,80,0,18.41,clear sky
339,Coihaique,CL,-45.5752,-72.0662,54.21,87,78,11.5,light rain
340,Paamiut,GL,61.994,-49.6678,30.72,93,100,7.61,overcast clouds
341,Najran,SA,17.4924,44.1277,86.65,6,0,11.48,clear sky
342,Amga,RU,60.8953,131.9608,20.66,87,100,6.87,overcast clouds
343,Mana,GF,5.6592,-53.7767,76.62,87,95,8.77,overcast clouds
